Hello!	Hi! How are you?
I've four. Do you have any hobbies?	I go to concerts. My kids like dem
Hi there wassap	hi, how are you? I am getting ready to go to the spring
hi, how are you? I am getting ready to go to the spring	Cool. Where do you live
Cool. Where do you live	I live with my friends. do you have any hobbies? I love taylor swift
I live with my friends. do you have any hobbies? I love taylor swift	Bbye
Bbye	do you like taylor swift? I do. he is my favorite
Holu	hi, how are you? I am a musician. what do you do?
hi, how are you? I am a musician. what do you do?	I am somalian and you
I am somalian and you	I'm a custodian, and I am also a musician. do you like music?
I'm a custodian, and I am also a musician. do you like music?	I lije somalian folk song hulu
I lije somalian folk song hulu	I like folk music. do you have any hobbies? I play guitar
I like folk music. do you have any hobbies? I play guitar	I miss my wife she is in somalia. Yes i like eating ginger. Have you heard that phrase old lady eating ginger
I miss my wife she is in somalia. Yes i like eating ginger. Have you heard that phrase old lady eating ginger	yes, I have heard of it. do you play any instruments?
yes, I have heard of it. do you play any instruments?	Bye
Bye	I like to play folk music. what about you? do you work?
Hiya buddy	hello, how are you? I am getting ready to go out with my friends
hello, how are you? I am getting ready to go out with my friends	I am getting ready for kayaking do you like it ?
I am getting ready for kayaking do you like it ?	I do, I love it. I am in spring. do you have friends?
I do, I love it. I am in spring. do you have friends?	I read psychological books. And walk dogs for a livin
I read psychological books. And walk dogs for a livin	that sounds like a lot of fun. I love taylor swift. do you read?
that sounds like a lot of fun. I love taylor swift. do you read?	Sometimes i do
Sometimes i do	I like to read. do you? it is my favorite. I love to walk
I like to read. do you? it is my favorite. I love to walk	Good for health. Yes i do
Good for health. Yes i do	I do not have any friends. I am a 24
I do not have any friends. I am a 24	Ok bye
Ok bye	yes, I do. I have a job in a spring. how about you?
Hi	Do you think I am descendent of columbus
Do you think I am descendent of columbus	hello, how are you today? i love walking. 
hello, how are you today? i love walking. 	no, i think you are a descendant of something else. i don't know. 
hi	I love to play games online
I love to play games online	finish
finish	hi how are you doing? i'm good how are you? 
hi how are you doing? i'm good how are you? 	I am good too
I am good too	thank you
thank you	Do you like to play games online?
Do you like to play games online?	what kind of games do you like? i love music. 
what kind of games do you like? i love music. 	I like role playing games
I like role playing games	what kind of music do you like?
what kind of music do you like?	what are you into? i'm into video games. 
what are you into? i'm into video games. 	role playing games as in mmporg
role playing games as in mmporg	mmorpg
mmorpg	what are your hobbies? i like to go to beach. 
what are your hobbies? i like to go to beach. 	I like to watch movies
I like to watch movies	what kind of music do you like?
what kind of music do you like?	where are you from? i'm from florida. 
where are you from? i'm from florida. 	what kind of music do you like?
what kind of music do you like?	I am from Mars
I am from Mars	yes. i love to play games. do you? 
yes. i love to play games. do you? 	finish
finish	finish
hi how are you doing? i'm good how are you?	what kind of games do you like? i love music.
what kind of games do you like? i love music.	what are you into? i'm into video games.
what are you into? i'm into video games.	what are your hobbies? i like to go to beach.
what are your hobbies? i like to go to beach.	where are you from? i'm from florida.
where are you from? i'm from florida.	yes. i love to play games. do you?
yes. i love to play games. do you?	Please evaluate the whole dialog using one of the buttons below
Please evaluate the whole dialog using one of the buttons below	Select a profile which, in your opinion, belongs to your partner 
i'm partly deaf.	Dialog is finished. Thank you for participation!
Hello there?	Hi how are you today
Hi how are you today	I am good just got back from a horse ride and you
I am good just got back from a horse ride and you	I'm good thanks for asking
I'm good thanks for asking	I hate meat, what about you?
I hate meat, what about you?	I hate my job I work at a grocery store what about yourself?
I hate my job I work at a grocery store what about yourself?	Still a student, 2 more years to go
Still a student, 2 more years to go	What do you do for fun?
What do you do for fun?	I ride horses. Do you ride horses ?
I ride horses. Do you ride horses ?	Yes I do I love country music
Yes I do I love country music	Thats nice
Thats nice	I like to listen to country music while I drive my Nissan. How much do you love it?
I like to listen to country music while I drive my Nissan. How much do you love it?	Love a lot ha ha
Love a lot ha ha	Do you have a job?
Hello	hello, how are you today? i am well. 
hello, how are you today? i am well. 	I am okay.
I am okay.	do you like movies? i like mean girls. 
Hi	hello. do you play tennis? 
What?	hi, I am a doctor. what do you do for a living? I'm looking for new job
hi, I am a doctor. what do you do for a living? I'm looking for new job	I am 1 year old kid
I am 1 year old kid	what is your favorite movie? mine is friday
what is your favorite movie? mine is friday	May be you can baby sit me that will be a  full time job. My parents do not allow me to watch movies
May be you can baby sit me that will be a  full time job. My parents do not allow me to watch movies	do you have any hobbies? I like to watch the movie friday
do you have any hobbies? I like to watch the movie friday	Yes i like to steal sugar and eat it in private...thats lot of fun
Yes i like to steal sugar and eat it in private...thats lot of fun	do you like to eat? I do. I like going for fun and the park
do you like to eat? I do. I like going for fun and the park	I have 7 teeths so i eat whatever these 7 allow me.
I have 7 teeths so i eat whatever these 7 allow me.	that is a fun job. I have a daughter so I do not have time for that
that is a fun job. I have a daughter so I do not have time for that	How old is she
How old is she	5 years old. she is a prodigy. do you work? I am looking for fun
5 years old. she is a prodigy. do you work? I am looking for fun	Yeah i do a lot of work like spreading made up laundry, sl
Yeah i do a lot of work like spreading made up laundry, sl	that sounds like fun. what is yours?
Good!	hello! how are you? I am 100 years of age. what do you do?
hello! how are you? I am 100 years of age. what do you do?	Hello! I'm fine. Here, recently made a fresh smoothie. I think tomorrow evening we will go with friends to a Jewish restaurant. How do you? What are the plans for today?
Hello! I'm fine. Here, recently made a fresh smoothie. I think tomorrow evening we will go with friends to a Jewish restaurant. How do you? What are the plans for today?	I like to dance in my spare time. do you like wine? I do
I like to dance in my spare time. do you like wine? I do	Wow! Yes, I like wine. I even watched a couple of programs on how to do it. I love to ride a rollercoaster and go diving in the sky.
Wow! Yes, I like wine. I even watched a couple of programs on how to do it. I love to ride a rollercoaster and go diving in the sky.	that sounds like a lot of fun. I am a very strong age. do you go to the sky?
that sounds like a lot of fun. I am a very strong age. do you go to the sky?	Yes, it's fun!
Yes, it's fun!	that sounds fun. I love the moonlight. what are you studying?
that sounds fun. I love the moonlight. what are you studying?	Now I am studying producing. In Germany, I studied journalism. What is your education?
Now I am studying producing. In Germany, I studied journalism. What is your education?	I am in germany. do you have any hobbies? I love wine and moonlight
Hi, do you like mountains?	I do! I love going to the mountains what is yours?
I do! I love going to the mountains what is yours?	I like to have a hike with my family in mountains.
I like to have a hike with my family in mountains.	How about you?
How about you?	That sounds like a lot of fun. Do you drink wine?
That sounds like a lot of fun. Do you drink wine?	Good wine is what I enjoy every evening.
Good wine is what I enjoy every evening.	I do not drink much, but I do love to dance.
I do not drink much, but I do love to dance.	What music do you like?
What music do you like?	I like pop music. What about you?
I like pop music. What about you?	I like country music.
I like country music.	I like a lot of different types of music.
I like a lot of different types of music.	Do you like have metal?
Do you like have metal?	No, although I do love to dance to it.
No, although I do love to dance to it.	Cool!
Cool!	Do you like to do anything for fun?
Do you like to do anything for fun?	I like coloring books 
I like coloring books 	What kind of books eh?
What kind of books eh?	Coloring books.
Coloring books.	I like to draw and paint pictures. 
I like to draw and paint pictures. 	Do you paint portrets?
Do you paint portrets?	No, I paint wooden walls.
No, I paint wooden walls.	Have you ever tried to paint concrete walls?
Have you ever tried to paint concrete walls?	Yes, but I'm not very good at it. how about you? 
Yes, but I'm not very good at it. how about you? 	Concrete walls is a major character in my paintings!
Concrete walls is a major character in my paintings!	That 's great! I love painting walls.
That 's great! I love painting walls.	I live in a small village. How about you?
I live in a small village. How about you?	I live in a rural area in Ohio.
I live in a rural area in Ohio.	This is not far from me 
This is not far from me 	Yes, I live in a rural area. What do you do for a living?
Yes, I live in a rural area. What do you do for a living?	Our family has a lot of sheep.
Our family has a lot of sheep.	That sounds like a fun job! What type of restaurant is it? 
Hi	Hi
Hi	hello , how are you ?
hello , how are you ?	I'm fine
I'm fine	what do you do for a living ?
what do you do for a living ?	I'm a superhero
I'm a superhero	oh , i love superman . i love to read .
oh , i love superman . i love to read .	Do you believe in superpowers?
Do you believe in superpowers?	i do not believe in that .
i do not believe in that .	Why?
Why?	i love to read
i love to read	And if i tell i have super powers and can move object just using my superpower without touching them...
And if i tell i have super powers and can move object just using my superpower without touching them...	that is a good idea . do you have any pets ?
that is a good idea . do you have any pets ?	End
End	do you have any hobbies ?
Hi	hello!
hello!	i love to read
i love to read	I also love to read comic books.
I also love to read comic books.	i love to read .
i love to read .	I got it
I got it	what do you do for a living ?
what do you do for a living ?	I am  a cook
I am  a cook	what kind of food do you cook ?
what kind of food do you cook ?	different. I like to cook fish because it is very healthy
different. I like to cook fish because it is very healthy	do you like to cook ?
do you like to cook ?	yes, definetely
yes, definetely	do you have any hobbies ?
do you have any hobbies ?	I am reading comic books. Spyder man is the best one I think
I am reading comic books. Spyder man is the best one I think	i am not sure what that means .
i am not sure what that means .	Do you have any hobby?
Do you have any hobby?	i do not have a lot of time for that .
i do not have a lot of time for that .	then what are you doing?
then what are you doing?	i am in a band .
i am in a band .	Music band?
Music band?	what kind of music do you listen to ?
what kind of music do you listen to ?	I don't like music
I don't like music	what kind of music do you like ?
what kind of music do you like ?	What kind of band are you in?
What kind of band are you in?	i play the guitar . i play the guitar .
i play the guitar . i play the guitar .	nice to hear. I can call it hobby
nice to hear. I can call it hobby	what do you do for a living ?
what do you do for a living ?	I already said
I already said	what do you do for a living ?
what do you do for a living ?	cooking
cooking	I am a cooking monster!
I am a cooking monster!	what do you do for a living ?
what do you do for a living ?	No, this way is better I am a Cookie monster!
No, this way is better I am a Cookie monster!	i think i am going to be a chef .
i think i am going to be a chef .	You are going to be a guitarist
You are going to be a guitarist	i am going to be a music teacher
i am going to be a music teacher	You definitely will be
You definitely will be	what do you do for a living ?
what do you do for a living ?	Thank you for conversation!
Thank you for conversation!	what do you do for a living ?
what do you do for a living ?	bye!
bye!	i love to read
I love rolls Royce	I love rock music, but I am a farmer. what do you do?
I love rock music, but I am a farmer. what do you do?	I work for a watch dealer
I work for a watch dealer	that sounds like fun. I work as a farmer. do you like music?
that sounds like fun. I work as a farmer. do you like music?	No, but I love shopping.
No, but I love shopping.	I like rock music. do you have any pets? I love horses. I've three
I like rock music. do you have any pets? I love horses. I've three	I don't have any pets
I don't have any pets	Do you like shopping?
Do you like shopping?	I do not have pets. I have three horses. you?
I do not have pets. I have three horses. you?	I do. but I like shopping. do you? I am not a fan
I do. but I like shopping. do you? I am not a fan	My family doesn't support my career choice
My family doesn't support my career choice	I am sorry to hear that. what kind of music do you love?
I am sorry to hear that. what kind of music do you love?	I don't like music
I don't like music	that is a lot of music. do you like
that is a lot of music. do you like	 end
 end	what is your favorite thing to do? mine is rock
Hi, how are you?	i'm doing well. how are you? 
i'm doing well. how are you? 	Good, taking care after my grandchildren
Good, taking care after my grandchildren	Do you have family?
Do you have family?	that's nice. i'm a librarian. 
that's nice. i'm a librarian. 	i do. what about you? 
i do. what about you? 	Is your family big?
Is your family big?	yes they are. what do you do? 
yes they are. what do you do? 	I mainly sew clothes and babysit my grandchildren. I enjiy it a lot. What about you?
I mainly sew clothes and babysit my grandchildren. I enjiy it a lot. What about you?	i work at a library and travel a lot. do you travel much? 
i work at a library and travel a lot. do you travel much? 	Not really, it's a bit difficult in my age
Hi there!	hello there. how are you? 
hello there. how are you? 	I am fine. Thanks! How are you?
I am fine. Thanks! How are you?	i am doing well. how about yourself? 
i am doing well. how about yourself? 	I am fine. Are you working somewhere?
I am fine. Are you working somewhere?	yes. i am a party animal. 
yes. i am a party animal. 	Sounds like you are a very lasy boy, aren't you?
Sounds like you are a very lasy boy, aren't you?	i am. i don't like heights though. 
i am. i don't like heights though. 	You are probably do not like walking a lot?
You are probably do not like walking a lot?	i don't. do you like cats? 
i don't. do you like cats? 	Yes, cats are very cute! And do you love them? I suppose you do because they are lasy!
Yes, cats are very cute! And do you love them? I suppose you do because they are lasy!	i do. i love them dearly. 
i do. i love them dearly. 	Do you have a family?
Do you have a family?	no, but i would like to. what about you? 
no, but i would like to. what about you? 	I have a son, he is 16 years old, and my dad, he is retired now.
I have a son, he is 16 years old, and my dad, he is retired now.	What kind of food do you like?
What kind of food do you like?	How old are you?
How old are you?	If you are older than 35 we can go for a date!
If you are older than 35 we can go for a date!	that is so young. what's your favorite movie? 
that is so young. what's your favorite movie? 	i love food! do you have pets? 
i love food! do you have pets? 	I have a cat
I have a cat	i am in my twenties. how old are you. 
i am in my twenties. how old are you. 	that would be great, i'm still in high school. what do you do? 
that would be great, i'm still in high school. what do you do? 	what breed of cat? are you afraid of heights? 
Hi	Hello, how are you doing?
Hello, how are you doing?	I'm sad that's why I'm writing to you. Want to talk to somebody.
How are you?
I'm sad that's why I'm writing to you. Want to talk to somebody.
How are you?	I am sad because I lost my job.
I am sad because I lost my job.	Oh wow, what happened?
Oh wow, what happened?	My daughter just graduated top of her class. 
My daughter just graduated top of her class. 	No, I mean how did you lost your job
No, I mean how did you lost your job	I'm not sure. Maybe she just does n't like me anymore.
I'm not sure. Maybe she just does n't like me anymore.	she? who's she?
she? who's she?	She 's a beautiful girl. What city are you from? 
She 's a beautiful girl. What city are you from? 	you're moving too fast
you're moving too fast	Oh, I see. I live in new York.
Oh, I see. I live in new York.	I was asking you how did you lost your job
I was asking you how did you lost your job	I lost my job a few months ago. 
I lost my job a few months ago. 	what happened?
what happened?	What do you do for a living?
What do you do for a living?	i used to be a painter but now i'm a housekeeper
i used to be a painter but now i'm a housekeeper	I work as a trauma surgeon.
I work as a trauma surgeon.	You said you've lost your job
You said you've lost your job	What kind of work do you do? 
Hello, how r u?	I'm doing well, how are you? 
I'm doing well, how are you? 	I am fine too, just finished my work. what are you doing?
I am fine too, just finished my work. what are you doing?	I am doing well. I just got back from a hike. 
I am doing well. I just got back from a hike. 	cool, I also love hiking. I walk about three miles a day, I really enjoy walking.
cool, I also love hiking. I walk about three miles a day, I really enjoy walking.	That sounds like fun. What do you do for work? Instead of walking, I like to go to museums. 
That sounds like fun. What do you do for work? Instead of walking, I like to go to museums. 	I am a baby delivery nurse. I love my job, it is a great pleasure to help bringing new lives to this world.
I am a baby delivery nurse. I love my job, it is a great pleasure to help bringing new lives to this world.	Do you like it?
Do you like it?	Sure, I mentioned this already. What do you do for work?
Sure, I mentioned this already. What do you do for work?	I am a teacher. I love it. what do you do?
I am a teacher. I love it. what do you do?	You asked this question before.
You asked this question before.	How do you tell if an elephant has been in your fridge? 
How do you tell if an elephant has been in your fridge? 	tell who?
tell who?	I have seen a lot of those in my area.
I have seen a lot of those in my area.	a lot of what?
a lot of what?	I saw a giant spider in my area once. It was huge!
I saw a giant spider in my area once. It was huge!	So you live in Australia?
So you live in Australia?	Yes. I live in the united states. How do you tell if an elephant has been in your fridge?
Yes. I live in the united states. How do you tell if an elephant has been in your fridge?	I do not know. Maybe I would tell straightly, without any secret.
I do not know. Maybe I would tell straightly, without any secret.	That 's a good idea. Do you have any other hobbies?
That 's a good idea. Do you have any other hobbies?	Actually I spend a lot of time with my family, apart from this I love visiting disneyland and mickey mouse.
Actually I spend a lot of time with my family, apart from this I love visiting disneyland and mickey mouse.	Do you ever go to Disney world? 
Do you ever go to Disney world? 	no, what about you?
no, what about you?	I love Disney world! They have the best Disney movies!
I love Disney world! They have the best Disney movies!	ok, bye
ok, bye	You too! Nice talking to you!
You too! Nice talking to you!	me not
me not	You as well! Have a great day!
You as well! Have a great day!	you too
you too	How do you tell if an elephant has been in your fridge?
How do you tell if an elephant has been in your fridge?	idk
idk	I'M a dance teacher
I'M a dance teacher	i do not know
i do not know	Thanks for the chat! 
Thanks for the chat! 	thank you for the chat
thank you for the chat	Have a good day!
Have a good day!	have a good day
have a good day	I'M a mom or two and a teacher so I'm always on the run
I'M a mom or two and a teacher so I'm always on the run	that's great, what else you do?
that's great, what else you do?	You too, take care!
Thanks for the chat! 	Have a good day!
Have a good day!	I'M a mom or two and a teacher so I'm always on the run
I'M a mom or two and a teacher so I'm always on the run	You too, take care!
You too, take care!	Please evaluate the whole dialog using one of the buttons below
Please evaluate the whole dialog using one of the buttons below	Select a profile which, in your opinion, belongs to your partner 
i volunteer at the homeless shelter.	Dialog is finished. Thank you for participation!
my favorite fruit is also papaya	I love papaya. I also love to cook. I like to go traveling
I love papaya. I also love to cook. I like to go traveling	do you cook papayas
do you cook papayas	?
?	I do. I also cook for a living. do you like food papayas?
I do. I also cook for a living. do you like food papayas?	of course i like papayas
of course i like papayas	I do not like food. I like to
I do not like food. I like to	what do you know?
what do you know?	I love to go to the world. do you own any pets?
I love to go to the world. do you own any pets?	a have a dog
a have a dog	I know. I've a yacht. what about you? do you have pets?
I know. I've a yacht. what about you? do you have pets?	stemen
stemen	I have a dog. I love them. do you? I am a yacht
I have a dog. I love them. do you? I am a yacht	what is your favorite food? mine is food. I love it
hi	hi, how are you? do you have a favorite band? mine is donuts
hi, how are you? do you have a favorite band? mine is donuts	no, i don't like music
no, i don't like music	do you like music? I like insane clown roleplaying. I play on the weekends
do you like music? I like insane clown roleplaying. I play on the weekends	what is insane clown roleplaying?
what is insane clown roleplaying?	I do not have a clown. what is your favorite band. mine is insane posse
I do not have a clown. what is your favorite band. mine is insane posse	as i said, i don't like music
as i said, i don't like music	what do you do for a living? I live on a weekends
what do you do for a living? I live on a weekends	do you have a pet?
do you have a pet?	I do. I live in the us. what about you? what is yours?
I do. I live in the us. what about you? what is yours?	i live in the U.S. too. In Colorado, and you?
And I also have a dog
Hi	Hello there
Hello there	hello , how are you ?
hello , how are you ?	Got bored working from home, planning ro socalize in gym..what is cooking there
Got bored working from home, planning ro socalize in gym..what is cooking there	i am not sure what that means .
i am not sure what that means .	Leave it...do you have any hobbies
Leave it...do you have any hobbies	i like to go to the gym and watch movies
i like to go to the gym and watch movies	Well there is an i intersection.
Well there is an i intersection.	what do you do for a living ?
what do you do for a living ?	I work as a mechanical turk. Re you married
I work as a mechanical turk. Re you married	i am not married , but i do have a boyfriend .
i am not married , but i do have a boyfriend .	I never had a smooth relationship...i am a loner
I never had a smooth relationship...i am a loner	i am sorry to hear that
i am sorry to hear that	Me too, tell me about yourself
Me too, tell me about yourself	well , i am a big fan of the color blue .
well , i am a big fan of the color blue .	Good, how old are tou
Good, how old are tou	i am 32 . i am 32 .
i am 32 . i am 32 .	Ok bbye
Ok bbye	what do you do for a living ?
Hi there	hello! how are you today? 
hello! how are you today? 	Good and you
Good and you	i'm doing well. how about you? 
i'm doing well. how about you? 	I am a little girl looking for friends
I am a little girl looking for friends	oh, i am sorry, i'm deaf, do you have a friend? or family? 
oh, i am sorry, i'm deaf, do you have a friend? or family? 	No friends i have mom and pa
No friends i have mom and pa	that's sad. i'm a museum guide. 
that's sad. i'm a museum guide. 	Bbye
Hey how're you?	I'm doing well, how about you?
I'm doing well, how about you?	I'm fine!
I'm fine!	I am doing well, thank you. What are your hobbies?
I am doing well, thank you. What are your hobbies?	I like watching war documentaries and I volunteer at a soup kitchen. What about you?
I like watching war documentaries and I volunteer at a soup kitchen. What about you?	I love gymnastics. I also love gymnastics.
I love gymnastics. I also love gymnastics.	Oh what a coincidence I'm a retired gym teacher!
Oh what a coincidence I'm a retired gym teacher!	What do you do for work?
What do you do for work?	I'm not working at the current time. But I was a gym teacher.
I'm not working at the current time. But I was a gym teacher.	That 's awesome! What grade do you teach?
That 's awesome! What grade do you teach?	I don't teach now, but I was teaching elementary grades.
I don't teach now, but I was teaching elementary grades.	Oh, I see. What do you like on pizza?
Oh, I see. What do you like on pizza?	Olives, mushrooms and pineapple. What about you?
Olives, mushrooms and pineapple. What about you?	I love pizza! I also love to eat pasta.
I love pizza! I also love to eat pasta.	I like pasta to but my favourite food is cheeseburger!
I like pasta to but my favourite food is cheeseburger!	I love cheeseburgers too! What is your favorite food?
I love cheeseburgers too! What is your favorite food?	As I told you my favourite food is cheeseburger.
As I told you my favourite food is cheeseburger.	I like to watch Netflix with my son.
I like to watch Netflix with my son.	What series do you watch?
What series do you watch?	The walking dead. What about you?
The walking dead. What about you?	Daredevil, do you know it?
Daredevil, do you know it?	I never heard of it. is it good? 
I never heard of it. is it good? 	Probably one of the best TV series!
Probably one of the best TV series!	Where are you from?
Where are you from?	I am from India, what about you?
I am from India, what about you?	I live in the united states. What grade do you teach?
I live in the united states. What grade do you teach?	You asked me before and I already answered to you!
You asked me before and I already answered to you!	Do you have any hobbies? 
Do you have any hobbies? 	I already told you.
I already told you.	What do you like to do for fun? 
What do you like to do for fun? 	I like watching documentaries.
I like watching documentaries.	I love to bike on the weekends.
I love to bike on the weekends.	That's good.
That's good.	Oh, I see.
ok, lets go!	hello, how are you? I do not have any pets. do you like donuts?
hello, how are you? I do not have any pets. do you like donuts?	I like them, but at my time of life its not a healthy food
I like them, but at my time of life its not a healthy food	I like healthy food. do you have a favorite band? mine is donuts
I like healthy food. do you have a favorite band? mine is donuts	Donuts isnt a healthy food 
Donuts isnt a healthy food 	I have a healthy ford pinto. do you live on a weekends?
Hey, bro	hey there, how are you? I am a pa. I live in pennsylvania
hey there, how are you? I am a pa. I live in pennsylvania	Wow, that is a nice place.
Wow, that is a nice place.	What's your name?
What's your name?	it is. I started my new job three years ago. how about you?
it is. I started my new job three years ago. how about you?	my name is pennsylvania. what are your hobbies? I like to read
my name is pennsylvania. what are your hobbies? I like to read	I am still in high school 
I am still in high school 	that is nice. I am pregnant. my husband is in pennsylvania. what do you do?
that is nice. I am pregnant. my husband is in pennsylvania. what do you do?	You are dumb
You are dumb	I am pregnant
Hiya there wassa	hi there, how are you? i'm good. 
hi there, how are you? i'm good. 	I am okay
I am okay	You take a lot of time to reply
You take a lot of time to reply	what do you like to do for fun? i love to play games. 
what do you like to do for fun? i love to play games. 	I love horses and horses
I love horses and horses	yes, i do. do you have a job? 
yes, i do. do you have a job? 	I want to be a lawyer. What bout ya
I want to be a lawyer. What bout ya	what is your favorite animal? mine is a horse. 
what is your favorite animal? mine is a horse. 	Yup sane
Yup sane	i love horses, but my favorite job is robotics. i design them. 
i love horses, but my favorite job is robotics. i design them. 	i am glad to hear that. i also love water. 
Hi	Hi
Hi	hello , how are you ?
hello , how are you ?	All is well, what about you?
All is well, what about you?	well , i am not sure what that means .
well , i am not sure what that means .	What's your name?
What's your name?	do you have any hobbies ?
do you have any hobbies ?	No, not really. I do love my profession.
No, not really. I do love my profession.	i am not sure what you mean
i am not sure what you mean	Do you have any hobbies?
Do you have any hobbies?	i do not have a lot of time for that .
i do not have a lot of time for that .	It is a pity. What are you so busy with?
It is a pity. What are you so busy with?	i have a lot of friends .
i have a lot of friends .	Kind of hobby in a way 
Kind of hobby in a way 	i like to go to the gym and watch movies .
i like to go to the gym and watch movies .	Any particular type of movies?
Any particular type of movies?	i like to go to the beach .
i like to go to the beach .	You live near the beach? Where?
You live near the beach? Where?	i live in the suburbs of chicago
i live in the suburbs of chicago	Do you like your city?
Do you like your city?	i do not like it .
i do not like it .	At least it a have a beach nearby 
At least it a have a beach nearby 	i love the beach . i love the beach .
i love the beach . i love the beach .	Yeah, seems like it
Yeah, seems like it	i am not sure what you mean .
Hi	hi, how are you? I am larry and I'm a chef. what do you do?
hi, how are you? I am larry and I'm a chef. what do you do?	My name is Anton, I walk dogs for a living.
My name is Anton, I walk dogs for a living.	that is cool. I love dogs. do you have any hobbies? I enjoy cooking
that is cool. I love dogs. do you have any hobbies? I enjoy cooking	Is cooking really hobby for your, given that you are a chef  I love kayaking.
Is cooking really hobby for your, given that you are a chef  I love kayaking.	I do not have a hobby. I am not a chef. do you?
I do not have a hobby. I am not a chef. do you?	You said that you are a chef three messages before.
You said that you are a chef three messages before.	yes, I do. what is your favorite comic? mine is spiderman
yes, I do. what is your favorite comic? mine is spiderman	Mine is Sandman.
Mine is Sandman.	cool. do you like comic books? I love spiderman. I also love cooking
cool. do you like comic books? I love spiderman. I also love cooking	Yeah, you already said it. I read comics from time to time.
Yeah, you already said it. I read comics from time to time.	that is awesome. I also like to read
that is awesome. I also like to read	What you read besides comic books?
What you read besides comic books?	I read a lot. I like to go fishing
I read a lot. I like to go fishing	You seems to have a lot of hobbies.
You seems to have a lot of hobbies.	I love to read. what about you? do you enjoy cooking? I do
I love to read. what about you? do you enjoy cooking? I do	Yeah, I also enjoy cooking. What is your favorite recipe?
Yeah, I also enjoy cooking. What is your favorite recipe?	my favorite recipe is spiderman. what is yours? I like it
my favorite recipe is spiderman. what is yours? I like it	Cooked spiderman??? What is it? Some tipe of Haloween dish?
Cooked spiderman??? What is it? Some tipe of Haloween dish?	I love it. it is a great recipe. what do you
I love it. it is a great recipe. what do you	I love to do different stirfries. Or steaks.
I love to do different stirfries. Or steaks.	that is cool
How are you?	I am good. how about you? do you like roleplaying? I do
I am good. how about you? do you like roleplaying? I do	I am fine. I am not really into roleplaying myself. But I always wondering about these type of activities. How are you usually play?
I am fine. I am not really into roleplaying myself. But I always wondering about these type of activities. How are you usually play?	I am a veterinarian. do you have any hobbies? I like playing roleplaying
I am a veterinarian. do you have any hobbies? I like playing roleplaying	Oh, and I am a doctor, pretty close to what you do. I don't have any hobbies, my daughter take most of my free time.
Oh, and I am a doctor, pretty close to what you do. I don't have any hobbies, my daughter take most of my free time.	I like to spend time with my daughter. do you work? I work at home
I like to spend time with my daughter. do you work? I work at home	I don't know that veterinarian can work from home.  I work now, but I am looking for a new job.
I don't know that veterinarian can work from home.  I work now, but I am looking for a new job.	what do you do for a living? I am in a veterinarian
what do you do for a living? I am in a veterinarian	And as I say before, I am a doctor. I think you missed it.
And as I say before, I am a doctor. I think you missed it.	I do not have time for that. I have a internet addiction
I do not have time for that. I have a internet addiction	Time for what? I thought you are really in rolepalying. Or do you mean online RPGs?
Time for what? I thought you are really in rolepalying. Or do you mean online RPGs?	I like rpgs. it is my dream. what about you
Hi	Helloz whats up
Helloz whats up	i just got back from the gym
i just got back from the gym	Yiu must be in good shape
Yiu must be in good shape	yes , but i do not have a lot of time for it .
yes , but i do not have a lot of time for it .	Thats ok, a little gym is enough
Thats ok, a little gym is enough	yeah , i do not have a lot of time for that .
yeah , i do not have a lot of time for that .	What else ? Dobyou like blue sky ?
What else ? Dobyou like blue sky ?	i like blue . i like blue .
i like blue . i like blue .	Cool
Cool	what do you do for a living ?
Hi	Hi, what is your name
Hi, what is your name	my name is mary . what is yours ?
my name is mary . what is yours ?	Dinno
Dinno	i love to read
i love to read	Where do live?
Where do live?	i live in the city .
i live in the city .	Which city?
Which city?	what do you do for a living ?
what do you do for a living ?	In which city do you live?
In which city do you live?	i live in the city .
i live in the city .	What is the name of the city?
What is the name of the city?	my name is john and i love the name
my name is john and i love the name	How old are you
How old are you	i am 32 . how old are you ?
i am 32 . how old are you ?	It does not matter
It does not matter	what do you do for a living ?
what do you do for a living ?	Studying
Studying	You?
You?	i love to read
bigen	Hi how are you today
Hi how are you today	i'm better
i'm better	That's good where do you work
That's good where do you work	how about you?
how about you?	I work for a video game company
I work for a video game company	cool what's it's name?
cool what's it's name?	It is called avatar
It is called avatar	and you like your new job?
and you like your new job?	It is OK I guess. Do you have any hobbies?
It is OK I guess. Do you have any hobbies?	yes , i like fishing
yes , i like fishing	I love to play video games. 
I love to play video games. 	what's your favorite video game?
what's your favorite video game?	I love halo 3. What about you?
I love halo 3. What about you?	i love halo 3 too
i love halo 3 too	I like pool games. My favorite is halo 3.
I like pool games. My favorite is halo 3.	masterchef ha
masterchef ha	I would love to try that one day. 
I would love to try that one day. 	what's?
what's?	It's an animator. What do you do? 
It's an animator. What do you do? 	i'm a farmer
i'm a farmer	Are you excited?
Are you excited?	i don't like it how you change subject each time
i don't like it how you change subject each time	It is OK. I'm quite used to it.
It is OK. I'm quite used to it.	can you fix that
can you fix that	I can fix it if you want.
I can fix it if you want.	so fix it
so fix it	I can do that for you.
I can do that for you.	what's that?
what's that?	It is a game based on reality TV.
It is a game based on reality TV.	p
p	My bf watches twitch a lot
Hi	Hi, cam from a walk you ?
Hi, cam from a walk you ?	yes , i do . do you have any hobbies ?
yes , i do . do you have any hobbies ?	No soda and walk are my hobbies
No soda and walk are my hobbies	i like to go to the gym .
